,lat,lon,Year,Density
1,47.4676666666667,-2.5615,1984,19.1111462120454
2,47.4545,-2.65716666666667,1984,1.1117948513508
3,47.5015,-2.53633333333333,1984,218.983410990109
4,47.4585,-2.58,1984,24.4323920927763
5,47.4596666666667,-2.55383333333333,1984,13.1948669767061
6,47.4813333333333,-2.56216666666667,1984,4.46255227178061
7,47.468,-2.543,1984,0
8,47.46,-2.536,1984,7.83640243106148
9,47.4501666666667,-2.643,1984,1.16921712047267
10,47.4441666666667,-2.57516666666667,1984,0
11,47.4731666666667,-2.5775,1984,24.2339576617577
12,47.4735,-2.52616666666667,1984,11.5179608701419
13,47.4645,-2.609,1984,10.4519514307109
14,47.4975,-2.549,1984,37.6486919005807
15,47.3903333333333,-2.646,1985,0
16,47.383,-2.637,1985,0
17,47.4295,-2.6395,1985,0
18,47.4433333333333,-2.6545,1985,0
19,47.4615,-2.59533333333333,1985,0
20,47.4383333333333,-2.54383333333333,1985,6.84475926047597
21,47.4676666666667,-2.5615,1985,0
22,47.4231666666667,-2.56183333333333,1985,0
23,47.4121666666667,-2.5375,1985,0
24,47.4448333333333,-2.62616666666667,1985,2.06007361177517
25,47.4125,-2.66083333333333,1985,0
26,47.4585,-2.58,1985,8.95245103792337
27,47.4596666666667,-2.55383333333333,1985,36.09392395282
28,47.4813333333333,-2.56216666666667,1985,0
29,47.468,-2.543,1985,2.88614599064232
30,47.4476666666667,-2.66666666666667,1985,0
31,47.4441666666667,-2.57516666666667,1985,1.29427095848126
32,47.4248333333333,-2.523,1985,2.37833010048095
33,47.442,-2.55766666666667,1985,3.39913791040161
34,47.4163333333333,-2.55216666666667,1985,0
35,47.4301666666667,-2.53583333333333,1985,11.575028460788
36,47.3758333333333,-2.61133333333333,1985,0
37,47.4298333333333,-2.55033333333333,1985,17.4894816627259
38,47.3903333333333,-2.646,1986,0
39,47.4055,-2.64966666666667,1986,0
40,47.4615,-2.59533333333333,1986,7.96435983096053
41,47.4463333333333,-2.5915,1986,0
42,47.4383333333333,-2.54383333333333,1986,1.78988613248724
43,47.451,-2.55566666666667,1986,17.6773232511349
44,47.4933333333333,-2.5175,1986,5.824078265605
45,47.4676666666667,-2.5615,1986,2.40876524139005
46,47.4545,-2.65716666666667,1986,0
47,47.5128333333333,-2.51333333333333,1986,56.3784519690161
48,47.5015,-2.53633333333333,1986,112.136603764097
49,47.4863333333333,-2.52866666666667,1986,4.81753048278011
50,47.4725,-2.628,1986,4.16051119205643
51,47.4585,-2.58,1986,8.65943534891737
52,47.4596666666667,-2.55383333333333,1986,1.90742234112731
53,47.4813333333333,-2.56216666666667,1986,0
54,47.468,-2.543,1986,2.02486867080503
55,47.46,-2.536,1986,0
56,47.4476666666667,-2.66666666666667,1986,0
57,47.4501666666667,-2.643,1986,0
58,47.4441666666667,-2.57516666666667,1986,0
59,47.4341666666667,-2.5655,1986,0
60,47.4248333333333,-2.523,1986,0
61,47.416,-2.64666666666667,1986,0
62,47.4408333333333,-2.63766666666667,1986,0
63,47.442,-2.55766666666667,1986,1.93750560733155
64,47.4163333333333,-2.55216666666667,1986,0
65,47.432,-2.65183333333333,1986,0
66,47.4301666666667,-2.53583333333333,1986,1.81513968289272
67,47.412,-2.52333333333333,1986,0
68,47.4563333333333,-2.5665,1986,10.9642018573344
69,47.4645,-2.609,1986,0
70,47.3963333333333,-2.63033333333333,1986,0
71,47.3758333333333,-2.61133333333333,1986,0
72,47.4406666666667,-2.61366666666667,1986,0
73,47.4828333333333,-2.5775,1986,9.84429990312302
74,47.475,-2.55116666666667,1986,3.77955013983812
75,47.4906666666667,-2.53966666666667,1986,11.1874707334716
76,47.4055,-2.64966666666667,1987,5.66789045037373
77,47.4615,-2.59533333333333,1987,2.23778784506002
78,47.4463333333333,-2.5915,1987,0
79,47.4225,-2.54083333333333,1987,0
80,47.4383333333333,-2.54383333333333,1987,0
81,47.4933333333333,-2.5175,1987,31.5421562295501
82,47.4676666666667,-2.5615,1987,0.708058293297259
83,47.5095,-2.52466666666667,1987,32.0103708554773
84,47.5015,-2.53633333333333,1987,73.543152338261
85,47.4231666666667,-2.56183333333333,1987,0
86,47.4121666666667,-2.5375,1987,0
87,47.4863333333333,-2.52866666666667,1987,8.64732726964959
88,47.4725,-2.628,1987,2.42240571080652
89,47.4448333333333,-2.62616666666667,1987,0
90,47.4585,-2.58,1987,0.849669951956711
91,47.4596666666667,-2.55383333333333,1987,5.79305596834717
92,47.4813333333333,-2.56216666666667,1987,0
93,47.468,-2.543,1987,1.47377925511199
94,47.46,-2.536,1987,1.88837184837656
95,47.4441666666667,-2.57516666666667,1987,0
96,47.4341666666667,-2.5655,1987,0
97,47.4731666666667,-2.5775,1987,1.8774658735052
98,47.416,-2.64666666666667,1987,0
99,47.4408333333333,-2.63766666666667,1987,0
100,47.4575,-2.63666666666667,1987,0
101,47.4735,-2.52616666666667,1987,0
102,47.4821666666667,-2.50883333333333,1987,111.042732773778
103,47.5008333333333,-2.5065,1987,18.3188977464233
104,47.442,-2.55766666666667,1987,0
105,47.4163333333333,-2.55216666666667,1987,0
106,47.412,-2.52333333333333,1987,0
107,47.4563333333333,-2.5665,1987,5.63777305630916
108,47.4645,-2.609,1987,1.10356660852275
109,47.3963333333333,-2.63033333333333,1987,1.3285567948945
110,47.401,-2.6635,1987,0
111,47.3831666666667,-2.65316666666667,1987,0
112,47.439,-2.529,1987,0
113,47.4406666666667,-2.61366666666667,1987,0
114,47.3898333333333,-2.61566666666667,1987,1.96317608191037
115,47.4975,-2.549,1987,1.90398170155028
